Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink
frame-r-002029-5-0231,51923.4662061,r,54,179.944291753113,0.576642068058331,frame-r-002029-5-0231,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2029/5/frame-r-002029-5-0231.fits.bz2,
frame-i-002029-5-0231,51923.4670353,i,54,179.944261590963,0.576643012424996,frame-i-002029-5-0231,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2029/5/frame-i-002029-5-0231.fits.bz2,
frame-u-002029-5-0231,51923.4678646,u,54,179.944231425175,0.576643956905559,frame-u-002029-5-0231,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2029/5/frame-u-002029-5-0231.fits.bz2,
frame-z-002029-5-0231,51923.4686939,z,54,179.944201259387,0.576644901386113,frame-z-002029-5-0231,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2029/5/frame-z-002029-5-0231.fits.bz2,
frame-g-002029-5-0231,51923.4695231,g,54,179.944171097237,0.576645845752778,frame-g-002029-5-0231,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2029/5/frame-g-002029-5-0231.fits.bz2,
frame-r-002247-1-0055,52015.1302817,r,54,169.048271272454,3.75416578667509,frame-r-002247-1-0055,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2247/1/frame-r-002247-1-0055.fits.bz2,
frame-i-002247-1-0055,52015.1311109,i,54,169.048185484804,3.75419017897505,frame-i-002247-1-0055,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2247/1/frame-i-002247-1-0055.fits.bz2,
frame-u-002247-1-0055,52015.1319402,u,54,169.048099686808,3.75421457421669,frame-u-002247-1-0055,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2247/1/frame-u-002247-1-0055.fits.bz2,
frame-z-002247-1-0055,52015.1327695,z,54,169.048013888813,3.75423896945833,frame-z-002247-1-0055,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2247/1/frame-z-002247-1-0055.fits.bz2,
frame-g-002247-1-0055,52015.1335987,g,54,169.047928101163,3.75426336175828,frame-g-002247-1-0055,SDSS,http://data.sdss3.org/sas/dr9/boss/photoObj/frames/301/2247/1/frame-g-002247-1-0055.fits.bz2,
200511060048032801,53681.028900463,r,30,73.0740058342885,51.9720759310756,intphas_1979 r,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051106&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0480328,
200511060048032901,53681.0296180556,i,10,73.0738394126046,51.9721757561795,intphas_1979 i,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051106&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0480329,
200511060048033101,53681.0322106481,r,30,73.073238147194,51.9725364146029,intphas_1979o r,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051106&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0480331,
200511060048033201,53681.0329166667,i,10,73.0730744097145,51.9726346296343,intphas_1979o i,INT/WFC,http://casu.ast.cam.ac.uk/casuadc/ingarch/displayResults?objname=&amp;coordinates=&amp;radius=&amp;nightobs=20051106&amp;telescope=&amp;instrument=&amp;waveband=&amp;pattref=&amp;runno=0480332,
FORS2.2009-01-23T07:18:00.637,54854.3056208101,R,250,191.904811080713,-9.48855204612888,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-23T07:18:00.637&amp;eso_download=file,
FORS2.2009-01-23T07:18:00.638,54854.3056208217,R,250,191.904811080461,-9.4885520463281,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-23T07:18:00.638&amp;eso_download=file,
FORS2.2009-01-23T07:22:51.518,54854.3089873843,R,250,191.904737857725,-9.488609838986,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-23T07:22:51.518&amp;eso_download=file,
FORS2.2009-01-23T07:22:51.519,54854.3089873959,R,250,191.904737857472,-9.48860983918522,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-23T07:22:51.519&amp;eso_download=file,
FORS2.2009-01-25T07:51:41.973,54856.329883831,R,400,191.855956116155,-9.5213932768265,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T07:51:41.973&amp;eso_download=file,
FORS2.2009-01-25T07:51:41.974,54856.3298838426,R,400,191.855956115835,-9.52139327699854,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T07:51:41.974&amp;eso_download=file,
FORS2.2009-01-25T07:58:47.936,54856.3335293345,R,178,191.855855712913,-9.52144735179509,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T07:58:47.936&amp;eso_download=file,
FORS2.2009-01-25T07:58:47.937,54856.333529346,R,178,191.855855712596,-9.52144735196562,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T07:58:47.937&amp;eso_download=file,
FORS2.2009-01-25T08:05:26.598,54856.3394281887,R,400,191.855693248636,-9.52153485146573,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:05:26.598&amp;eso_download=file,
FORS2.2009-01-25T08:05:26.599,54856.3394282003,R,400,191.855693248317,-9.52153485163777,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:05:26.599&amp;eso_download=file,
FORS2.2009-01-25T08:12:32.892,54856.3443620717,R,400,191.855557361275,-9.52160803739689,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:12:32.892&amp;eso_download=file,
FORS2.2009-01-25T08:12:32.893,54856.3443620833,R,400,191.855557360956,-9.52160803756893,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:12:32.893&amp;eso_download=file,
FORS2.2009-01-25T08:35:49.682,54856.3605286111,R,400,191.855112107836,-9.52184784106462,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:35:49.682&amp;eso_download=file,
FORS2.2009-01-25T08:35:49.683,54856.3605286227,R,400,191.855112107517,-9.52184784123676,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:35:49.683&amp;eso_download=file,
FORS2.2009-01-25T08:42:55.865,54856.3654612964,R,400,191.854976253462,-9.52192100922996,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:42:55.865&amp;eso_download=file,
FORS2.2009-01-25T08:42:55.866,54856.3654613078,R,400,191.854976253148,-9.52192100939908,P2005K3,ESO-VLT/FORS2,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?FORS2.2009-01-25T08:42:55.866&amp;eso_download=file,
01173b163-w1-int-1b,55218.3745890663,w1,8,206.710927794864,-19.6549752847883,01173b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01173b/163/01173b163-w1-int-1b.fits,
01173b163-w2-int-1b,55218.3745890663,w2,8,206.710927794864,-19.6549752847883,01173b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01173b/163/01173b163-w2-int-1b.fits,
01173b163-w3-int-1b,55218.3745948533,w3,9,206.710928004884,-19.6549755839444,01173b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01173b/163/01173b163-w3-int-1b.fits,
01173b163-w4-int-1b,55218.3745948533,w4,9,206.710928004884,-19.6549755839444,01173b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01173b/163/01173b163-w4-int-1b.fits,
01178a083-w4-int-1b,55218.5068991733,w4,9,206.715729549164,-19.6618149822642,01178a083,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01178a/083/01178a083-w4-int-1b.fits,
01178a084-w1-int-1b,55218.5070207563,w1,8,206.715733961614,-19.6618212674297,01178a084,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01178a/084/01178a084-w1-int-1b.fits,
01178a084-w2-int-1b,55218.5070207563,w2,8,206.715733961614,-19.6618212674297,01178a084,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01178a/084/01178a084-w2-int-1b.fits,
01178a084-w3-int-1b,55218.5070265433,w3,9,206.715734171634,-19.6618215665857,01178a084,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01178a/084/01178a084-w3-int-1b.fits,
01178a084-w4-int-1b,55218.5070265433,w4,9,206.715734171634,-19.6618215665857,01178a084,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01178a/084/01178a084-w4-int-1b.fits,
01181b164-w1-int-1b,55218.6393250363,w1,8,206.720535504442,-19.6686606636823,01181b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01181b/164/01181b164-w1-int-1b.fits,
01181b164-w2-int-1b,55218.6393250363,w2,8,206.720535504442,-19.6686606636823,01181b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01181b/164/01181b164-w2-int-1b.fits,
01181b164-w3-int-1b,55218.6393308233,w3,9,206.720535714462,-19.6686609628379,01181b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01181b/164/01181b164-w3-int-1b.fits,
01181b164-w4-int-1b,55218.6393308233,w4,9,206.720535714462,-19.6686609628379,01181b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1b/01181b/164/01181b164-w4-int-1b.fits,
01185b163-w1-int-1b,55218.7716293063,w1,8,206.725337046908,-19.6755000594173,01185b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01185b/163/01185b163-w1-int-1b.fits,
01185b163-w2-int-1b,55218.7716293063,w2,8,206.725337046908,-19.6755000594173,01185b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01185b/163/01185b163-w2-int-1b.fits,
01185b163-w3-int-1b,55218.7716350933,w3,9,206.725337256927,-19.675500358573,01185b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01185b/163/01185b163-w3-int-1b.fits,
01185b163-w4-int-1b,55218.7716350933,w4,9,206.725337256927,-19.675500358573,01185b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5b/01185b/163/01185b163-w4-int-1b.fits,
01188a139-w1-int-1b,55218.8378451463,w1,8,206.727740130101,-19.6789230504796,01188a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01188a/139/01188a139-w1-int-1b.fits,
01188a139-w2-int-1b,55218.8378451463,w2,8,206.727740130101,-19.6789230504796,01188a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01188a/139/01188a139-w2-int-1b.fits,
01188a139-w3-int-1b,55218.8378509333,w3,9,206.727740340121,-19.6789233496352,01188a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01188a/139/01188a139-w3-int-1b.fits,
01188a139-w4-int-1b,55218.8378509333,w4,9,206.727740340121,-19.6789233496352,01188a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01188a/139/01188a139-w4-int-1b.fits,
01189b163-w1-int-1b,55218.9039335863,w1,8,206.730138589736,-19.6823394556695,01189b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/163/01189b163-w1-int-1b.fits,
01189b163-w2-int-1b,55218.9039335863,w2,8,206.730138589736,-19.6823394556695,01189b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/163/01189b163-w2-int-1b.fits,
01189b163-w3-int-1b,55218.9039393733,w3,9,206.730138799756,-19.6823397548252,01189b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/163/01189b163-w3-int-1b.fits,
01189b163-w4-int-1b,55218.9039393733,w4,9,206.730138799756,-19.6823397548252,01189b163,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/163/01189b163-w4-int-1b.fits,
01189b164-w1-int-1b,55218.9040609463,w1,8,206.730143211843,-19.6823460394739,01189b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/164/01189b164-w1-int-1b.fits,
01189b164-w2-int-1b,55218.9040609463,w2,8,206.730143211843,-19.6823460394739,01189b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/164/01189b164-w2-int-1b.fits,
01189b164-w3-int-1b,55218.9040667333,w3,9,206.730143421863,-19.6823463386299,01189b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/164/01189b164-w3-int-1b.fits,
01189b164-w4-int-1b,55218.9040667333,w4,9,206.730143421863,-19.6823463386299,01189b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9b/01189b/164/01189b164-w4-int-1b.fits,
01192a139-w1-int-1b,55218.9701494263,w1,8,206.732541672929,-19.6857624467318,01192a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/01192a/139/01192a139-w1-int-1b.fits,
01192a139-w2-int-1b,55218.9701494263,w2,8,206.732541672929,-19.6857624467318,01192a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/01192a/139/01192a139-w2-int-1b.fits,
01192a139-w3-int-1b,55218.9701552133,w3,9,206.732541882949,-19.6857627458874,01192a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/01192a/139/01192a139-w3-int-1b.fits,
01192a139-w4-int-1b,55218.9701552133,w4,9,206.732541882949,-19.6857627458874,01192a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/01192a/139/01192a139-w4-int-1b.fits,
01193b164-w1-int-1b,55219.0363652163,w1,8,206.734838689094,-19.6891561410073,01193b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01193b/164/01193b164-w1-int-1b.fits,
01193b164-w2-int-1b,55219.0363652163,w2,8,206.734838689094,-19.6891561410073,01193b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01193b/164/01193b164-w2-int-1b.fits,
01193b164-w3-int-1b,55219.0363710033,w3,9,206.734838882235,-19.6891564355012,01193b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01193b/164/01193b164-w3-int-1b.fits,
01193b164-w4-int-1b,55219.0363710033,w4,9,206.734838882235,-19.6891564355012,01193b164,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3b/01193b/164/01193b164-w4-int-1b.fits,
01196a138-w1-int-1b,55219.1024537063,w1,8,206.737044392448,-19.6925193108317,01196a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/138/01196a138-w1-int-1b.fits,
01196a138-w2-int-1b,55219.1024537063,w2,8,206.737044392448,-19.6925193108317,01196a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/138/01196a138-w2-int-1b.fits,
01196a138-w3-int-1b,55219.1024594933,w3,9,206.737044585589,-19.6925196053256,01196a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/138/01196a138-w3-int-1b.fits,
01196a138-w4-int-1b,55219.1024594933,w4,9,206.737044585589,-19.6925196053256,01196a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/138/01196a138-w4-int-1b.fits,
01196a139-w1-int-1b,55219.1025810663,w1,8,206.737048643088,-19.6925257920405,01196a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/139/01196a139-w1-int-1b.fits,
01196a139-w2-int-1b,55219.1025810663,w2,8,206.737048643088,-19.6925257920405,01196a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/139/01196a139-w2-int-1b.fits,
01196a139-w3-int-1b,55219.1025868533,w3,9,206.737048836229,-19.6925260865348,01196a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/139/01196a139-w3-int-1b.fits,
01196a139-w4-int-1b,55219.1025868533,w4,9,206.737048836229,-19.6925260865348,01196a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/01196a/139/01196a139-w4-int-1b.fits,
01198a072-w1-int-1b,55219.1686695463,w1,8,206.739254346108,-19.6958889613562,01198a072,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01198a/072/01198a072-w1-int-1b.fits,
01198a072-w2-int-1b,55219.1686695463,w2,8,206.739254346108,-19.6958889613562,01198a072,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01198a/072/01198a072-w2-int-1b.fits,
01198a072-w3-int-1b,55219.1686753333,w3,9,206.739254539249,-19.6958892558501,01198a072,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01198a/072/01198a072-w3-int-1b.fits,
01198a072-w4-int-1b,55219.1686753333,w4,9,206.739254539249,-19.6958892558501,01198a072,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01198a/072/01198a072-w4-int-1b.fits,
01200a138-w1-int-1b,55219.2347580163,w1,8,206.741460048794,-19.6992521301627,01200a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/138/01200a138-w1-int-1b.fits,
01200a138-w2-int-1b,55219.2347580163,w2,8,206.741460048794,-19.6992521301627,01200a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/138/01200a138-w2-int-1b.fits,
01200a138-w3-int-1b,55219.2347638033,w3,9,206.741460241935,-19.699252424657,01200a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/138/01200a138-w3-int-1b.fits,
01200a138-w4-int-1b,55219.2347638033,w4,9,206.741460241935,-19.699252424657,01200a138,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/138/01200a138-w4-int-1b.fits,
01200a139-w1-int-1b,55219.2348853463,w1,8,206.741464298433,-19.6992586098449,01200a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/139/01200a139-w1-int-1b.fits,
01200a139-w2-int-1b,55219.2348853463,w2,8,206.741464298433,-19.6992586098449,01200a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/139/01200a139-w2-int-1b.fits,
01200a139-w3-int-1b,55219.2348911333,w3,9,206.741464491574,-19.6992589043392,01200a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/139/01200a139-w3-int-1b.fits,
01200a139-w4-int-1b,55219.2348911333,w4,9,206.741464491574,-19.6992589043392,01200a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/01200a/139/01200a139-w4-int-1b.fits,
01204a139-w1-int-1b,55219.3671896663,w1,8,206.745879955113,-19.7059914296851,01204a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01204a/139/01204a139-w1-int-1b.fits,
01204a139-w2-int-1b,55219.3671896663,w2,8,206.745879955113,-19.7059914296851,01204a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01204a/139/01204a139-w2-int-1b.fits,
01204a139-w3-int-1b,55219.3671954533,w3,9,206.745880148254,-19.705991724179,01204a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01204a/139/01204a139-w3-int-1b.fits,
01204a139-w4-int-1b,55219.3671954533,w4,9,206.745880148254,-19.705991724179,01204a139,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/01204a/139/01204a139-w4-int-1b.fits,
01208a091-w1-int-1b,55219.4994939463,w1,8,206.750295610458,-19.7127242474895,01208a091,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01208a/091/01208a091-w1-int-1b.fits,
01208a091-w2-int-1b,55219.4994939463,w2,8,206.750295610458,-19.7127242474895,01208a091,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01208a/091/01208a091-w2-int-1b.fits,
01208a091-w3-int-1b,55219.4994997333,w3,9,206.750295803599,-19.7127245419834,01208a091,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01208a/091/01208a091-w3-int-1b.fits,
01208a091-w4-int-1b,55219.4994997333,w4,9,206.750295803599,-19.7127245419834,01208a091,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/01208a/091/01208a091-w4-int-1b.fits,
rings.v3.skycell.0929.000.wrp.z.55224_61279,55224.6133677111,z,30,206.882673973619,-19.9620512329704,0929.000,Pan-STARRS1,,
rings.v3.skycell.0929.000.wrp.z.55224_62154,55224.6221174111,z,30,206.882836936782,-19.9624593092564,0929.000,Pan-STARRS1,,
rings.v3.skycell.0843.082.wrp.i.55283_44850,55283.4490780852,i,32,202.594705414844,-20.7273166412092,0843.082,Pan-STARRS1,,
rings.v3.skycell.0843.082.wrp.i.55283_45519,55283.4557749852,i,32,202.593697531394,-20.7271453121841,0843.082,Pan-STARRS1,,
rings.v3.skycell.0928.008.wrp.g.55304_42553,55304.4262282259,g,52,199.237160727605,-19.9343670928718,0928.008,Pan-STARRS1,,
rings.v3.skycell.0928.009.wrp.r.55306_42528,55306.4258850333,r,36,198.913088390875,-19.8364907163999,0928.009,Pan-STARRS1,,
rings.v3.skycell.0928.009.wrp.g.55306_44228,55306.4429762259,g,52,198.910329587536,-19.8356409043232,0928.009,Pan-STARRS1,,
rings.v3.skycell.0928.009.wrp.g.55306_45069,55306.4513932259,g,52,198.908970943453,-19.8352223923789,0928.009,Pan-STARRS1,,
rings.v3.skycell.0926.074.wrp.y.55371_30398,55371.3045557111,y,30,192.951511787724,-16.886956114268,0926.074,Pan-STARRS1,,
rings.v3.skycell.0926.074.wrp.y.55371_31488,55371.3154538111,y,30,192.951559920999,-16.8867448122182,0926.074,Pan-STARRS1,,
06126a134-w1-int-1b,55382.2096194663,w1,8,193.174077797464,-16.7455433520318,06126a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/06126a/134/06126a134-w1-int-1b.fits,
06126a134-w2-int-1b,55382.2096194663,w2,8,193.174077797464,-16.7455433520318,06126a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/06126a/134/06126a134-w2-int-1b.fits,
06126a134-w3-int-1b,55382.2096252533,w3,9,193.174078014717,-16.7455433179528,06126a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/06126a/134/06126a134-w3-int-1b.fits,
06126a134-w4-int-1b,55382.2096252533,w4,9,193.174078014717,-16.7455433179528,06126a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/06126a/134/06126a134-w4-int-1b.fits,
06130a134-w1-int-1b,55382.3419231463,w1,8,193.179044698117,-16.7447642303607,06130a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/06130a/134/06130a134-w1-int-1b.fits,
06130a134-w2-int-1b,55382.3419231463,w2,8,193.179044698117,-16.7447642303607,06130a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/06130a/134/06130a134-w2-int-1b.fits,
06130a134-w3-int-1b,55382.3419289333,w3,9,193.179044915371,-16.7447641962817,06130a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/06130a/134/06130a134-w3-int-1b.fits,
06130a134-w4-int-1b,55382.3419289333,w4,9,193.179044915371,-16.7447641962817,06130a134,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/06130a/134/06130a134-w4-int-1b.fits,
06135a070-w1-int-1b,55382.4742268163,w1,8,193.184011598395,-16.7439851087485,06135a070,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/06135a/070/06135a070-w1-int-1b.fits,
06135a070-w2-int-1b,55382.4742268163,w2,8,193.184011598395,-16.7439851087485,06135a070,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/06135a/070/06135a070-w2-int-1b.fits,
06135a070-w3-int-1b,55382.4742326033,w3,9,193.184011815649,-16.7439850746695,06135a070,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/06135a/070/06135a070-w3-int-1b.fits,
06135a070-w4-int-1b,55382.4742326033,w4,9,193.184011815649,-16.7439850746695,06135a070,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/06135a/070/06135a070-w4-int-1b.fits,
06137a079-w1-int-1b,55382.5404423363,w1,8,193.186497439375,-16.7435951729085,06137a079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/06137a/079/06137a079-w1-int-1b.fits,
06137a079-w2-int-1b,55382.5404423363,w2,8,193.186497439375,-16.7435951729085,06137a079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/06137a/079/06137a079-w2-int-1b.fits,
06137a079-w3-int-1b,55382.5404481233,w3,9,193.186497656629,-16.7435951388295,06137a079,WISE,http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/06137a/079/06137a079-w3-int-1b.fits,
